DWHName,IncomingFileName,FriendlyName,FileType,Affiliate,Brand,Data Granularity,Data Owner,Vendor Name,VendorContact,Source System Name,PullType,Data Business Owner,Data Technical Owner,Data Type,SubDataType,Data Set Description,File Location,LocatedIn,File Current Status,Deactivation Date,Reason For Deactivation,When is the File Sent,Load Frequency,File Pre Processed,Landing Zone Table Name,Transformation Layer Table Name,Reporting Layer table Name,Comment
Global Datawarehouse,Diab_1_Actual_Sales,Diab_1 Sales,psv,Turkey,Diab_1,"Region, Volume, Price, Revenue",Lakshya Mishra,IQVIA,lakshya@iqvia.com,IQVIA,Manual,Smith@dr.com,Johanna@dr.com,Sales Data,Regional Sales Data,Contains region based sales data for Diab_1 in Turkey,s3/sales/diab1/turkey,s3,Active,,,End of Quarter,Quarterly,Yes,Diab1_Turkey_Actuals_z,Diab1_quarter_sales_summary,Diab1_Quaretrly_Slaes_Turk,This file is set to expire by end of 2025
US Datawarehouse,Veeva_HCP_Engagement_weekly,Weekly HCP Engagement Data,csv,US,All Brands,"Region, HCP, TA, Rep, Engagement",Sridhar,Veeva,sridhar@veeva.com,Veeva CRM,Automated,Jones@dr.com,Johanna@dr.com,Engagement Data,Weekly Rep HCP Engagement Data,Contains rep hcp weekly engagement data,s3/enagemenet/veeva/,s3,Active,,,Beginning of week,Weekly,No,rep_hcp_weekly_z,hcp_engagement_metrics,,New processig pipeline in progress
Japan Datawarehouse,,,,,,,,,,,,,Johanna@dr.com,,,,,,Inactive,12/31/2024,Contract expired on 12/31/2024,Monthly,,,,,,
Global Datawarehouse,Diab_1_1_Engagement_weekly,Diab 1 1 Engagement Weekly,psv,US,Diab_1,"Volume, Revenue, Rep, Price, HCP",Sridhar,Veeva,veeva190@dr.com,Veeva CRM,Manual,jones@dr.com876@company.com,johanna@dr.com832@iqvia.com,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in US, with fields: volume, price, ta.",gcs/engagement/diab_1/us/,adls,Inactive,02/04/2023,Contract expired on 02/04/2023,Beginning of week,Weekly,No,diab_1_us_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_us_metrics_rpt,Schema change expected next quarter
US Datawarehouse,All Brands_2_Sales_weekly,All Brands 2 Sales Weekly,csv,US,All Brands,"Engagement, HCP, Rep, Country, TA",Sridhar,Veeva,veeva857@iqvia.com,Veeva CRM,Automated,smith@dr.com344@iqvia.com,lakshya648@dr.com,Sales Data,Regional Sales Data,"Contains sales data for All Brands in US, with fields: ta, engagement.",gcs/sales/allbrands/us/,s3,Inactive,03/15/2025,Contract expired on 03/15/2025,End of Quarter,Weekly,No,all_brands_us_sales_z,all_brands_sales_weekly_xform,all_brands_sales_us_metrics_rpt,PII masked at source
Japan Datawarehouse,Respira_3_Sales_weekly,Respira 3 Sales Weekly,psv,US,Respira,"Country, Brand, Volume, TA",Sridhar,IQVIA,iqvia578@veeva.com,IQVIA,Automated,smith@dr.com557@iqvia.com,johanna@dr.com646@company.com,Sales Data,Regional Sales Data,"Contains sales data for Respira in US, with fields: price, hcp, revenue.",gcs/sales/respira/us/,s3,Active,,,End of Quarter,Weekly,Yes,respira_us_sales_z,respira_sales_weekly_xform,respira_sales_us_metrics_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,Diab_1_4_Sales_weekly,Diab 1 4 Sales Weekly,csv,US,Diab_1,"Volume, Country, Engagement, Revenue",Sridhar,Snowflake External,snowflake836@dr.com,IQVIA,Manual,jones@dr.com184@dr.com,johanna@dr.com401@vendor.net,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Diab_1 in US, with fields: region, volume, price, engagement.",s3/sales/diab_1/us/,s3,Inactive,07/04/2024,Contract expired on 07/04/2024,Monthly,Weekly,No,diab_1_us_sales_z,diab_1_sales_weekly_xform,diab_1_sales_us_metrics_rpt,New processing pipeline in progress
Global Datawarehouse,All Brands_5_Claims_daily,All Brands 5 Claims Daily,csv,Turkey,All Brands,"Engagement, Price, Volume",Lakshya Mishra,Veeva,veeva254@dr.com,Veeva CRM,Manual,jones112@iqvia.com,jones99@iqvia.com,Claims Data,Regional Sales Data,"Contains claims data for All Brands in Turkey, with fields: revenue, hcp.",gcs/claims/allbrands/turkey/,s3,Inactive,01/22/2023,Contract expired on 01/22/2023,Monthly,Daily,Yes,all_brands_turkey_claims_z,all_brands_claims_daily_xform,all_brands_claims_turkey_metri_rpt,Backfill required for last 3 months
Japan Datawarehouse,All Brands_6_Marketing_weekly,All Brands 6 Marketing Weekly,psv,Turkey,All Brands,"Region, TA, HCP, Price, Engagement",Sridhar,IQVIA,iqvia161@dr.com,Veeva CRM,Manual,smith128@veeva.com,johanna@dr.com793@veeva.com,Marketing Data,Regional Sales Data,"Contains marketing data for All Brands in Turkey, with fields: engagement, rep, volume.",gcs/marketing/allbrands/turkey/,s3,Inactive,06/21/2024,Contract expired on 06/21/2024,End of Quarter,Weekly,Yes,all_brands_turkey_marketing_z,all_brands_marketing_weekly_xform,all_brands_marketing_turkey_me_rpt,New processing pipeline in progress
US Datawarehouse,Diab_1_7_Sales_qtr,Diab 1 7 Sales Qtr,csv,US,Diab_1,"Units, Region, Revenue, Rep",Lakshya Mishra,Snowflake External,snowflake103@company.com,Netsuite,Automated,smith@dr.com774@vendor.net,smith992@company.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Diab_1 in US, with fields: region, engagement.",s3/sales/diab_1/us/,s3,Active,,,End of week,Quarterly,No,diab_1_us_sales_z,diab_1_sales_quarterly_xform,diab_1_sales_us_metrics_rpt,New processing pipeline in progress
